month_year,bank_name,role_type,total_volume_mn,approved_volume_mn,approved_pct,technical_decline_pct,business_decline_pct,total_decline_pct
2024-04,Tri O Tech Solutions Private Limited,Remitter,46.64,46.64,100,0,0,0
2024-04,AU small Finance Bank,Remitter,45.86,42.54,92.76,1.05,6.19,7.24
2024-04,Ujjivan Small Finance Bank,Remitter,42.92,40.41,94.15,24,5.62,29.62
2024-04,City Union Bank,Remitter,39.67,36.81,92.8,29,6.91,35.91
2024-04,Tamilnad Mercantile Bank,Remitter,36.11,33.16,91.84,59,7.57,66.57
2024-04,Punjab and Sind Bank,Remitter,34.51,28.62,82.94,9.01,8.05,17.06
2024-04,Equitas Bank,Remitter,32.32,29.98,92.77,7,7.15,14.15
2024-04,Andhra Pradesh Grameena Vikas Bank,Remitter,29.08,24.76,85.16,1.78,13.06,14.84
2024-04,Kerala Gramin Bank,Remitter,27.5,25.4,92.37,1.42,6.21,7.63
2024-04,Pragathi Krishna Gramin Bank,Remitter,26.83,23.67,88.21,3.72,8.07,11.79
2024-04,DBS Bank India Limited,Remitter,26.42,24.93,94.37,17,5.46,22.46
2024-04,Maharashtra Gramin Bank,Remitter,25.64,21.99,85.76,2.54,11.7,14.24
2024-04,Rajasthan Marudhara Gramin Bank,Remitter,24.19,21.04,86.99,99,12.02,111.02
2024-04,Standard Chartered,Remitter,24.01,23.17,96.49,66,2.85,68.85
2024-04,Saraswat Bank,Remitter,23.34,22.15,94.9,62,4.48,66.48
2024-04,Baroda UP Gramin Bank,Remitter,22.48,16.95,75.41,15.41,9.17,24.58
2024-04,Fincare Small Finance Bank Ltd,Remitter,21.68,18.42,84.95,59,14.46,73.46
2024-04,ESAF Small Finance Bank Ltd.,Remitter,21.48,20.34,94.68,40,4.92,44.92
2024-04,Citi Bank,Remitter,19.73,19.05,96.53,36,3.11,39.11
2024-04,Sarva Haryana Gramin Bank,Remitter,18.34,16.83,91.76,74,7.5,81.5
