month_year,bank_name,role_type,total_volume_mn,approved_pct,technical_decline_pct,business_decline_pct,approved_volume_mn,total_decline_pct
2024-08,Indusind Bank Ltd.,Remitter,165.7,91.49,17,8.34,151.6,25.34
2024-08,Bank of Maharashtra,Remitter,163.62,93.33,25,6.41,152.71,31.41
2024-08,Fino Payments Bank Limited,Remitter,151.38,92.78,39,6.83,140.45,45.83
2024-08,Yes Bank Ltd.,Remitter,126.41,93.91,23,5.87,118.71,28.87
2024-08,Karnataka Bank,Remitter,117.67,92.78,21,7.01,109.17,28.01
2024-08,IDFC First Bank Ltd,Remitter,89.97,93.64,23,6.13,84.25,29.13
2024-08,Karur Vysya Bank,Remitter,74.18,92.49,1.3,6.22,68.61,7.52
2024-08,AU small Finance Bank,Remitter,69.4,91.26,2,8.72,63.33,10.72
2024-08,The Jammu & Kashmir Bank Limited,Remitter,69.35,92.93,2.06,5.02,64.45,7.08
2024-08,Bandhan Bank limited,Remitter,66.15,93.24,1.03,5.73,61.68,6.76
2024-08,The South Indian Bank Limited,Remitter,60.3,95.07,5,4.88,57.33,9.88
2024-08,Tri O Tech Solutions Private Limited,Remitter,57.12,100,0,0,57.12,0
2024-08,Ujjivan Small Finance Bank Limited,Remitter,45.73,94.25,42,5.32,43.1,47.32
2024-08,City Union Bank,Remitter,44.59,92.78,49,6.73,41.37,55.73
2024-08,Punjab and Sind Bank,Remitter,42.38,92.12,49,7.39,39.04,56.39
2024-08,Tamilnad Mercantile Bank Limited,Remitter,41.5,91.74,46,7.81,38.07,53.81
2024-08,Kerala Gramin Bank,Remitter,34.73,90.77,2.87,6.37,31.52,9.24
2024-08,Equitas Small Finance Bank Ltd,Remitter,32.89,92.09,66,7.25,30.29,73.25
2024-08,Karnataka Gramin Bank (Erstwhile Pragathi Krishna Gramin Bank),Remitter,30.19,84.79,7.83,7.38,25.6,15.21
2024-08,Andhra Pradesh Grameena Vikas Bank - IMPS,Remitter,28.61,86.25,91,12.84,24.68,103.84
2024-08,DBS Bank India Limited,Remitter,28.32,93.8,3,6.18,26.56,9.18
2024-08,Standard Chartered Bank,Remitter,26.22,97.09,3,2.89,25.46,5.89
2024-08,ESAF Small Finance Bank Ltd.,Remitter,25.47,95.08,21,4.72,24.22,25.72
2024-08,Saraswat Co-operative Bank,Remitter,25.08,95.11,13,4.76,23.85,17.76
2024-08,Maharashtra Gramin Bank,Remitter,24.99,86.37,1.35,12.27,21.58,13.62
2024-08,Baroda U.P. Bank (Erstwhile Baroda Uttar Pradesh Gramin Bank),Remitter,24.96,88.53,2.68,8.79,22.1,11.47
2024-08,Rajasthan Marudhara Gramin Bank,Remitter,23.83,86.87,2.58,10.55,20.7,13.13
2024-08,Sarva Haryana Gramin Bank,Remitter,20.33,87.7,5.7,6.6,17.83,12.3
2024-08,Jio Payments Bank limited,Remitter,20.1,82.02,2.94,15.04,16.49,17.98
