bank_name,month_year,remitter_td_pct,beneficiary_td_pct,remitter_debit_friction_delta,remitter_lost_vol_mn,beneficiary_lost_vol_mn
"Kotak Mahindra Bank",2024-05,39.00,0.29,38.71,291.26,0.83
"Tamilnad Mercantile Bank Limited",2025-10,39.00,0.35,38.65,22.46,0.13
"Karur Vysya Bank",2024-12,39.00,0.36,38.64,32.42,0.15
"The South Indian Bank Limited",2026-05,39.00,0.48,38.52,33.32,0.25
"RBL Bank Ltd.",2025-11,38.00,0.14,37.86,10.92,0.06
"Karur Vysya Bank",2025-10,38.00,0.19,37.81,36.17,0.09
"Kotak Mahindra Bank",2025-11,38.00,0.39,37.61,384.01,1.57
"City Union Bank",2026-03,38.00,0.42,37.58,23.74,0.13
"Yes Bank Ltd.",2024-12,37.00,0.00,37.00,62.10,0.00
"JIO Payments Bank Ltd",2025-10,37.00,0.13,36.87,26.33,0.08
"CITI Bank",2024-02,37.00,0.16,36.84,7.00,0.02
"Citi Bank",2024-05,37.00,0.21,36.79,7.41,0.03
"IDBI Bank Ltd.",2025-10,37.00,0.23,36.77,77.95,0.20
"Indian Bank",2024-01,37.00,0.27,36.73,129.09,0.52
"City Union Bank",2024-05,37.00,0.27,36.73,15.40,0.06
"Punjab And Sind Bank",2026-05,37.00,0.28,36.72,27.19,0.09
"Canara Bank",2024-03,37.00,0.35,36.65,237.84,1.06
"UCO Bank",2025-08,37.00,0.37,36.63,105.05,0.45
"AU small Finance Bank",2024-02,37.00,0.39,36.61,14.36,0.10
"Citi Bank",2024-04,36.00,0.19,35.81,7.10,0.02
"Canara Bank",2024-07,36.00,0.21,35.79,247.99,0.69
"Punjab and Sind Bank",2024-05,36.00,0.30,35.70,13.74,0.05
"Canara Bank",2025-08,36.00,0.34,35.66,349.43,1.54
"Sarva Haryana Gramin Bank",2024-10,36.00,0.34,35.66,7.64,0.03
"Fino Payments Bank Ltd.",2024-06,36.00,0.43,35.57,50.69,0.32
"Airtel Payments Bank Limited",2026-04,34.00,0.24,33.76,262.63,1.23
"Karur Vysya Bank",2024-01,34.00,0.25,33.75,20.25,0.08
"BANDHAN BANK LIMITED",2025-10,34.00,0.25,33.75,32.01,0.14
"Bank of India",2024-03,34.00,0.26,33.74,147.62,0.51
"Karnataka Bank",2026-02,34.00,0.69,33.31,49.54,0.42
"Rbl Bank Ltd.",2026-03,33.00,0.10,32.90,11.79,0.05
"Bank of Baroda",2024-06,33.00,0.14,32.86,301.12,0.56
"NSDL Payments Bank Limited",2025-10,33.00,0.14,32.86,19.17,0.09
"Bank of Maharashtra",2026-06,33.00,0.31,32.69,85.26,0.28
"Equitas Small Finance Bank",2025-08,33.00,0.35,32.65,9.71,0.05
"UCO Bank",2025-10,33.00,0.62,32.38,97.69,0.79
Citibank,2024-03,32.00,0.14,31.86,6.65,0.02
"Punjab National Bank",2026-04,32.00,0.21,31.79,420.92,1.11
"Bank Of India",2024-06,32.00,0.23,31.77,142.20,0.47
"City Union Bank",2024-01,32.00,0.25,31.75,11.48,0.05
"AU Small Finance Bank",2024-12,32.00,0.26,31.74,23.88,0.09
"Saraswat Bank",2024-03,32.00,0.27,31.73,7.45,0.02
"BANDHAN BANK LIMITED",2025-09,32.00,0.27,31.73,29.35,0.15
"Central Bank of India",2024-07,32.00,0.28,31.72,67.69,0.28
"State Bank Of India",2024-03,32.00,0.28,31.72,1138.41,4.27
"State Bank of India",2026-01,32.00,0.40,31.60,1873.85,8.68
"Kerala Gramin Bank",2025-12,31.00,0.12,30.88,17.11,0.04
"The Jammu & Kashmir Bank Limited",2026-01,31.00,0.17,30.83,32.69,0.09
"Indusind Bank Ltd.",2025-10,31.00,0.18,30.82,69.81,0.35
"Indusind Bank",2024-05,31.00,0.19,30.81,46.61,0.24
"Bank Of India",2026-06,31.00,0.27,30.73,228.16,0.81
"City Union Bank",2024-03,31.00,0.28,30.72,12.62,0.06
"Bank Of India",2025-10,31.00,0.29,30.71,199.33,0.81
"Punjab National Bank",2024-05,31.00,0.36,30.64,243.46,1.18
"Bank Of Maharashtra",2026-05,31.00,0.98,30.02,81.81,0.91
"Axis Bank Ltd.",2024-01,30.00,0.06,29.94,167.85,0.61
"Indusind Bank Ltd.",2025-09,30.00,0.12,29.88,64.17,0.23
"Jio Payments Bank Ltd",2026-03,30.00,0.16,29.84,30.59,0.15
"Kerala Gramin Bank",2026-05,30.00,0.17,29.83,18.39,0.06
