bank_name,month_year,current_td_pct,prev_month_td_pct,td_spike_diff,total_volume_mn
"The Jammu & Kashmir Bank Limited",2024-10,5.43,1.90,3.53,78.02
"Punjab and Sind Bank",2025-10,4.98,1.51,3.47,61.44
"Kerala Gramin Bank",2025-09,5.88,2.69,3.19,49.94
"NSDL Payments Bank Limited",2026-02,4.88,1.80,3.08,68.12
"Andhra Pragathi Grameena Bank",2024-09,4.68,1.61,3.07,18.96
"AU small Finance Bank",2026-06,23.00,20.00,3.00,94.61
"DBS Bank India Limited",2026-01,8.00,5.00,3.00,31.99
"Equitas Small Finance Bank",2024-12,6.00,3.00,3.00,32.91
"IDBI Bank",2024-07,54.00,51.00,3.00,161.72
"Rajasthan Marudhara Gramin Bank",2024-02,66.00,63.00,3.00,20.23
"The South Indian Bank Limited",2024-08,5.00,2.00,3.00,60.30
"UCO Bank",2026-06,9.00,6.00,3.00,341.95
"Baroda U.P. Bank",2026-03,10.17,7.26,2.91,90.10
"Andhra Pragathi Grameena Bank",2024-06,6.28,3.38,2.90,18.35
"ESAF Small Finance Bank Ltd",2025-03,4.26,1.57,2.69,31.85
"India Post Payments Bank Ltd.",2024-12,4.22,1.58,2.64,459.83
"Central Bank Of India",2024-02,7.80,5.18,2.62,179.35
"Baroda U.P. Bank",2025-09,10.22,7.63,2.59,54.02
"Sarva Haryana Gramin Bank",2025-08,3.51,1.01,2.50,26.50
"India Post Payment Bank",2024-03,5.98,3.81,2.17,312.23
"Sarva Haryana Gramin Bank",2025-02,2.90,0.73,2.17,20.73
"JIO Payments Bank Ltd",2025-08,3.55,1.39,2.16,61.01
"The Jammu & Kashmir Bank Limited",2025-02,2.36,0.21,2.15,80.46
"Telangana Grameena Bank",2025-06,2.79,0.70,2.09,41.11
"Rajasthan Marudhara Gramin Bank",2024-10,4.91,2.83,2.08,29.28
"Nsdl Payments Bank Limited",2026-04,3.67,1.63,2.04,80.35
"Maharashtra Gramin Bank",2026-03,3.46,1.43,2.03,44.51
"NSDL Payments Bank Limited",2024-09,5.49,3.47,2.02,20.08
"Axis Bank Ltd.",2024-04,3.00,1.00,2.00,609.02
"Axis Bank Ltd.",2024-12,3.00,1.00,2.00,810.01
"BANDHAN BANK LIMITED",2025-10,34.00,32.00,2.00,94.16
"Bank of Maharashtra",2026-06,33.00,31.00,2.00,258.36
"City Union Bank",2024-11,16.00,14.00,2.00,44.74
"ESAF Small Finance Bank Ltd.",2024-07,22.00,20.00,2.00,24.06
"Federal Bank Ltd.",2026-03,9.00,7.00,2.00,293.37
"HDFC Bank Ltd.",2026-01,5.00,3.00,2.00,1651.17
"ICICI Bank Ltd.",2024-10,4.00,2.00,2.00,709.27
"Icici Bank Ltd.",2026-05,2.00,0.00,2.00,795.41
